Title,Author,Pages,Publisher,Year,Image,Text,Field
المسند الصحيح المختصر من السنن بنقل العدل عن العدل عن رسول الله صلى الله عليه وسلم (رواية الجلودي),"مسلم بن الحجاج بن مسلم، القُشَيْرِي، النيسابوري، أبو الحسين ، الإمام مسلم",49,دار المخطوطات في إمارة الشارقة ,261 هـ,https://imh.ac.ae/wp-content/uploads/2019/05/1-0806.jpg,"باب منه عن أبي الحسين مسلم بن الحجاج القشيري رحمه الله حدثنا زهير بن حرب، وإسحاق بن إبراهيم، قال إسحاق: أخبرنا، وقال زهير: حدثنا جرير، عن الأعمش، عن زيد بن وهب، عن عبد الرحمن بن عبد رب الكعبة، قال: دخلت المسجد فإذا عبد الله بن عمرو بن العاص جالسا في ظل الكعبة، والناس مجتمعون عليه، فأتيتهم فجلست إليه، فقال: كنا مع رسول الله صلى الله عليه وسلم في سفر، فنزلنا منزلا فمنا من يصلح خباءه، ومنا من ينتضل، ومنا من هو في جشره، إذ نادى منادي رسول الله صلى الله عليه وسلم: الصلاة جامعة، فاجتمعنا إلى رسول الله صلى الله عليه وسلم، فقال: “إنه لم يكن نبي قبلي إلا كان حقا عليه أن يدل أمته على خير ما يعلمه لهم، وينذرهم شر ما يعلمه لهم، وإن أمتكم هذه جعل عافيتها في أولها، وسيصيب آخرها بلاء، وأمور تنكرونها، وتجيء فتنة فيرقق بعضها بعضا، وتجيء الفتنة فيقول المؤمن: هذه مهلكتي، ثم تنكشف وتجيء الفتنة، فيقول المؤمن: هذه هذه، فمن أحب أن يزحزح عن النار، ويدخل الجنة، فلتأته منيته وهو يؤمن بالله واليوم الآخر، وليأت إلى الناس الذي يحب أن يؤتى إليه، ومن بايع إماما فأعطاه صفقة يده، وثمرة قلبه، فليطعه إن استطاع، فإن جاء آخر ينازعه فاضربوا عنق الآخر، فدنوت منه، فقلت له: أنشدك الله آنت سمعت هذا من رسول الله صلى الله عليه وسلم؟ فأهوى إلى أذنيه، وقلبه بيديه، وقال: «سمعته أذناي، ووعاه قلبي»، فقلت له: هذا ابن عمك معاوية، يأمرنا أن نأكل أموالنا بيننا بالباطل، ونقتل أنفسنا، والله يقول: {يا أيها الذين آمنوا لا تأكلوا أموالكم بينكم بالباطل إلا أن تكون تجارة عن تراض منكم ولا تقتلوا أنفسكم إن الله كان بكم رحيما} قال: فسكت ساعة، ثم قال: «أطعه في طاعة الله، واعصه في معصية الله»",الحديث الشريف وعلومه
منتخب الأحكام من حديث سيد الأنام (ج 2),"عبيدالله بن محمد بن أحمد، ابن قدامة، المقدسي، الحنبلي، شمس الدين ، ابن قدامة المقدسي",44,دار المخطوطات في إمارة الشارقة ,684 هـ,https://imh.ac.ae/wp-content/uploads/2019/05/1-0797.jpg,"الحمد لله رب العالمين، والعاقبة للمتقين، اللهم علمنا ما ينفعنا وانفعنا بما علمتنا، وبعد فيقول مصنف هذا الكتاب…هذا هو الجزء الثاني من كتاب منتخب الأحكام من حديث سيد الأنام صلى الله عليه وسلم أبدا. باب التيمم الحديث الأول عن عمران بن حصين رضي الله عنهما أن رسول الله صلى الله عليه وسلم رأى رجلا معتزلا لم يصل بالقوم، فقال: يا فلان ما منعك أن تصلي في القوم…

نهاية المخطوط :
ومن قال: هي العشاء، يقول: سبقها صلاة نهار، وصلاة ليل، وتأخر عنها صلاة بينهما، وصلاة نهار، مع أن الصبح قد اختلف فيها؛ هل هي نهارية، أو ليلية، أو لا يوصف بهما؟ على ثلاثة مذاهب للسلف.
ومن قال: الظهر هي عكس القول في العشاء في التقدم، والتأخر.
وهذا لا يتعين، بل ينبغي أن يكون مسلك النظر من حيث الفضل؛ كما يشير إليه قوله تعالى: {وكذلك جعلناكم أمة وسطا} أي: عدلا.
ومع ذلك كله، فأقوى دليل لمن قال: إنها الصبح، ومنع أنها العصر، قضية العطف الذي قدمناه، وهي قاصرة عن النص….",شروح الحديث
الإقناع لطالب الانتفاع,"موسى بن أحمد بن موسى، الحجاوي، المقدسي، الحنبلي، شرف الدين، أبو النجا ، الحجاوي",299,دار المخطوطات في إمارة الشارقة ,968 هـ,https://imh.ac.ae/wp-content/uploads/2019/05/0288-02.jpg,الحمد لله الذي فقه من أراد به خيرا في الدين وشرع أحكام الحلال والحرام في كتابه المبين وأعز العلم ورفع أهله العاملين به المتقين…أما بعد: فهذا كتاب في الفقه على مذهب إمام الأئمة ومجلي دجى المشكلات المدلهمة الزاهد الرباني والصديق الثاني أبي عبد الله أحمد بن محمد بن حنبل الشيباني رضي الله عنه وأرضاه وجعل جنة الفردوس مأواه اجتهدت في تحرير نقوله واختصارها بعدم تطويله…,الفقه الحنبلي
جزء فيه أحاديث عوال من الموافقات والأبدال والتساعيات والمصافحات والأناشيد والمقطوعات,"تخريج: عبدالمؤمن بن خلف بن أبي الحسن، الدمياطي، التُّوني، الشافعي، شرف الدين، أبو محمد ، الدمياطي",12,دار المخطوطات في إمارة الشارقة ,705 هـ,https://imh.ac.ae/wp-content/uploads/2019/05/0248-00.jpg,"أخبرنا المسند أبو النون يونس بن حسين بن علي الراجي إجازة مشافهة أخبرنا ناصر الدين بن علي الحراوي إجازة مشافهة عن الحافظ شرف الدين الدمياطي إجازة إن لم يكن سماعا…عن عبد الله بن عمرو بن العاص قال: قال رسول الله صلى الله عليه وسلم، وعند ابن السراج أن رسول الله صلى الله عليه وسلم قال: الراحمون يرحمهم الرحمن , ارحموا أهل الأرض يرحمكم من في السماء…",الحديث الشريف وعلومه
فتح الوصيد في شرح القصيد (شرح الشاطبية),"علي بن محمد بن عبدالصمد، السَّخَاوي، الدمشقي، الشافعي، علم الدين، أبو الحسن ، السَّخَاوي",259,دار المخطوطات في إمارة الشارقة ,643 هـ,https://imh.ac.ae/wp-content/uploads/2019/05/1-0788.jpg,"الحمد لله الذي جعل كتابه العزيز نورا نهتدي به إذا أظلمت الأمور، وسورا نتحصن به عند نزول المحذور، وضياءا تستمده البصائر فلا تحيد عن الحق ولا تجور، وشفاءا لما في الصدورن وشفيعا إذا بعثر ما في القبور…أذكر في هذا الكتاب بحول الله وقوته شرح قصيدة الشيخ الإمام…الشاطبي رحمه الله الملقبة بحرز الأماني ووجه التهاني وقيل هي شجرة كبيرة بجبل لبنان ورقها يشبح ورق الخلاف مستطيل بين الصفرة والخضرة يشبح رائحة الأترج، وقيل بل هي حشيشة طيبة الريح، وقيل يشبه ورقها ورق الطرفاء صفراء كرائحة الأترج تسمى أرجل الجراد، لأنها تشبهها، ووزن زرنب فعلل وليس في العربية فعنل.",القراءات
خطاب دفع والتزام,,1,دار الكتب والوثائق القومية, 91 هجري / 710 ميلادي,http://www.darelkotob.gov.eg/HeritageImages/%d8%a8%d8%b1%d8%af%d9%8a/189%d8%a8%d8%b1%d8%af%d9%8a%d9%87.jpg,"جزء من بردية مدونة باللغة العربية واليونانية، خالية من النقط (الخط الحجازي) عثر عليها في منطقة كوم أشقاو بصعيد مصر، محافظة سوهاج، وتُنسب لعهد الوالي قُرَّة بن شَرِيْك، عام 90-96هجرية.",برديات
حكومة البحرين,حكومة البحرين,1,صحيفة الوسط البحرينية , هـ 1346,https://malturath.wordpress.com/wp-content/uploads/2014/01/main_fdd-3.jpg,"إعلان

نعلن للعموم من جماعة أهل السنة والشيعة في البحرين ـــ أنه من سبب سوء التدبير في الأوقاف قد تعينت إدارة شرعية لأجل تسجيل الأوقاف وتدبيرها أحسن تدبير، والإدارة المذكورة تشتمل وتنحصر في خصوص المحكمتين الشرعيتين السنة والشيعة ـــ فلهذا نخبر جميع متولي الأوقاف بأن يخطروا الإدارة المذكورة ويخبروها بجميع ما في أيديهم من نخيل أو عقارات (ثم يرسم؟؟) في دفاترها المخصوصة لذلك بموجب أوراق الوقفية التي يقدمونها إلى قضاة المحكمتين الشرعيتين موضع خصوص الكتاب ـــ لأجل أن (تجبيها ؟؟) القضاة على حسب القانون الشرعي لا غير ـــ فكل من يتأخر عن تقديم الاطلاعات المذكورة في مدة شهر واحد إلى سلخ شهر صفر 1346 من هذه السنة من غير عذر ولا سفر، أو يخفي شيئاً من الوقف أو يعطي اطلاعات غير صحيحة مع علمه بذلك سيجازي لدى المحكمة. ليكون معلوم.

حرر في 27 محرم 1346».",الأوقاف… وثائق وحكايات لحقوق شرعية
فرمان بخصوص قرية في منطقة أردبيل,أبو المظفر محمد بن عثمان بن أوزبك (برهان أمير المؤمنين),1,Digital Persian Archive,"21 رجب 630 هـ / 3 مايو 1233 م
",https://asnad.org/media/previews/sanad_001022-02.jpg,"(1) نصرة الدنيا والدين، أبو المظفر محمد بن عثمان بن أوزبك، برهان أمير المؤمنين.
(2) الله كافٍ لعباده.
(3) وقد صدر هذا الأمر ونُفذ في حق الشريف الأجلّ الأخص،
(4) شرف الدين بهاء الإسلام بابا بن بلان – أطال الله بقاءه – حيث مُنح القرية المسماة كونزانه (KWNZ'NH)،
(5) وغيلاند (Gīland) من ناحية دارمرز من أعمال أردبيل له،
(6) كملكية، ليعمرها وينتفع بارتفاعها (إيراداتها) لنفسه، وبالكيفية التي يراها،
(7) [......] وعلى نواب الديوان [......]
أن يسيروا على مقتضى هذا الفرمان، وأن يثبتوا هذه الأراضي المذكورة في يد بابا كملكية مقررة له، لكي ينشغل بعمارتها بطمأنينة قلب.
(10) وليكون الاعتماد على التوقيع العالي المرفوع أعلاه.
(11) كُتب بالأمر ونُفذ برسالة الأمير عميد الأصفهسلار (كذا) العالم العادل،
(12) المؤيد المظفر المنصور، جمال الدين ... الإسلام قطب الملوك والسلاطين،
(13) ملك الأمراء (كذا) – دام سموه – بتاريخ أحد (كذا) عشرين رجب،
(14) سنة ثلاثين وستمائة (630 هـ). والحمد لله كثيرًا.",الأوامر الملكية والإمبراطورية
رسالة من أوزون حسن,أوزون حسن آق قويونلو (أبو نصر حسن بهادر),1,Digital Persian Archive,سنة 879 هـ / 18 مايو 1474 ,https://asnad.org/media/previews/sanad_000632-02.jpg,"هو الهادي

(1) إلى الجناب العالي، المقرون بالهداية، المنسوب إلى الكرامة، ملاذ الإرشاد، شعار الشريعة، وكساء الحقيقة،
مولانا وشيخ الإسلام الأعظم،
(2) هادي طوائف الأُمم، ناصح الملوك والسلاطين، عضد الإسلام والمسلمين، المؤيد بتأييدات الملك الصمد،
(3) نظام الملة والدين، مولانا أحمد – أسبغ الله تعالى ظلال إرشاده وإفادته على رؤوس المسلمين.
(4) إن دعواته الطاهرة، التي يضاهي صفاؤها أوراد الصومعة المباركة للزاهدين، قد صقلت أعلام الهدى.
(5) ومن صدق النية وكمال العقيدة، بُعث بهذه الرسالة التي تحمل رأيًا منيرًا، إذ إن ذلك الجناب المقدس،
(6) في صحبة مبعوث ورسول حضرة السلطنة الملوكية – خلد الله ملكه وسلطانه –
(7) قد تفضل بالسفر للحضور، واستفدنا كامل الاستفادة من نصائحه ومواعظه.
(8) وأفاد أن “الصُلح خير” كان هو الهدف المنشود، وقد تقرر أن
(9) لا يكون هناك تعدٍّ أو إيذاء من الطرفين على حدود مملكة كل منهما، وأن يتم إطلاق سراح جميع الأسرى من كلا الجانبين،
(10) وأن كل ما قرره المرسل قُبل بكل رضا وسرور،
(11) وتم عقد العهد والميثاق، كما أن النصائح التي وجهها ذلك الجناب المرشد كانت
(12) موافقة للحديث النبوي – عليه أفضل الصلوات وأكمل التحيات – وموافقة لأوامر الله تعالى.
(13) وبعد تلقيها بشكل معتبر ومقدّر، تم أداء القسم في حضرة الرسول،
(14) وقد أُرسل ما رآه ذلك الجناب والرسول مناسبًا كتقدمة.
(15) والآن يبدو أنه قد تغيّر القول إلى نوع آخر، والحال أنه في أمر كان ذلك الجناب الهادي
(16) قد توسّط فيه بحسن الاهتمام وصدق النية وصلاح المسلمين، وكان ذلك الرسول المشار إليه من العلماء والفضلاء وأصلح الصلحاء وأهل اليقين،
(17) وكان الكلام قد تقرر حسب أمر الله تعالى، وتوطّد العهد عليه، فكيف يُظهر خلاف ذلك ظاهرًا؟
(18) ويمكن عقد الاعتبار والاعتماد على هذا العهد والميثاق،
والمقصود من ذلك هو إصلاح أحوال المسلمين،
(19) ومع وجود ذلك الجناب الشريف، ذي الصفات الملكية،
ووجود ذلك الرسول المشار إليه الذي توسّط في هذا الأمر،
فلن ينزل ملك آخر من السماء (لإصلاح الأمر بعد ذلك).
(20) والمقصود أن هذا العبد (الكاتب) ما زال على ذلك العهد والميثاق
الذي تم بحضورهم، ولا يجوّز مخالفة ذلك بأي وجه من الوجوه.
(21) ولا يرى حاجة إلى المبالغة في ذلك.

ظلّ إرشاد ذلك الملاذ ممتد ومبسوط بإذن الله.",رسائل ومراسلات
 فرمان صادر عن الشاه طهماسب الأول,الشاه طهماسب الأول (حاكم الدولة الصفوية),2,"المتحف البريطاني (لندن)
Digital Persian Archive",18 جمادى الأولى 948 هـ / 9 سبتمبر 1541 م,https://asnad.org/media/facsimiles/sanad_000230-01.jpg,"بسم الله الرحمن الرحيم
هو الغني
الحكم لله

أبو المظفر طهماسب بهادر، سلطاننا المعظم.

في هذا الوقت، وبناءً على وفرة الأمانة، والرشد، وكفاءة العمل لدى سيد السادات والأشراف، سيد شجاع الدين سلطان محمود الرضوي النقيب،
تم تعيينه متوليًا (ناظرًا) للأوقاف والأملاك التابعة للآستانة المقدسة المنورة للسيدة المعصومة، سمية سيدات نساء العالمين، السيدة فاطمة عليها التحية والسلام،
وكذلك للمسجد المبارك المنسوب للإمام أبي محمد الحسن العسكري عليه السلام،
وتولي الإمامة فيهما، وفق الشرع الشريف، وشرط الواقف، والأوامر السلطانية المطاعة.

وقد كان هذا المنصب سابقًا بيد والده المرحوم، سيد مرشد الدين رشيد الإسلام الرضوي النقيب،
فقد أعدنا تفويضه إليه بنفس النظام، دون إشراك أي طرف آخر،
ليجتهد في تنظيم وإدارة الآستانة المقدسة والمسجد المبارك، ويقوم بضبط إيراداتها وإعمار أملاكها،
وأن لا يسمح بحدوث أي تقصير فيها،
وأن يُنفِق إيرادات الأوقاف وفق ما هو محدد في التعليمات،
وبمعرفة السيد علي الرضوي النقيب،
وبطريقة تتوافق مع الشرع الشريف، في مصارفها الواجبة.

ويُمنع المستأجرون، والعمال، والموظفون، والرعايا في المناطق التابعة للآستانة المقدسة والمسجد المبارك من دفع أو استلام أي مبلغ أو شيء دون علم وختم وتوقيع المتولي المشار إليه،
وأن يرفعوا إليه أي نزاع يحدث بينهم، ولا يُخفوا عنه شيئًا،
وأن يُرجعوا إليه في جميع شؤونهم وفق النظام الإداري المتبع في الدولة.

ولا يحق لأي شخص أن يتدخل في أوقاف الآستانة المقدسة والمسجد المبارك بما يخالف الشرع وشرط الواقف.

وعلى السادة العظام، وقضاة الإسلام، والحكام، والأكابر، وأهالي مدينة قم وسلطانية،
أن يعتبروا ما ورد هنا أمرًا نافذًا، وأن يُساعدوا هذا السيد في أداء مهامه.

ويجب أن يُستثنى مقام الآستانة المقدسة من جميع الأوامر العامة الصادرة بشأن العقارات والأوقاف،
وإذا صدرت أحكام عامة باسم أرباب السيور والغلات والأوقاف،
فيجب استثناء أملاك وإيرادات الآستانة المقدسة منها.

ولا يحق لأرباب الوظائف أو موظفي الآستانة أن يطالبوا المتولي بما يخالف الشرع وشرط الواقف،
بل عليهم الالتزام بما هو مقرر في التعليمات،
وعدم التدخل أو المطالبة بما هو زائد عن ذلك،
وألا تُعتبر الأوامر التي تخالف هذا المضمون في الماضي أو المستقبل معتبرة أو ملزمة.

ويجب على العمال هناك أن يعتبروا أنفسهم معزولين إذا عزله، ومُعيّنين إذا نصّبهم،
وأن تُدفع له نسبة العُشر (10%) وفق شرط الواقف كحق للتولية.

السيد الأمير فخر الدين أسعد الرضوي","الأوامر الملكية والإمبراطورية
"
